id,gid,sid,group_order,randomization_group,grelevance,group_name,description,language
30,30,694511,2,,1,Verifica requisiti partecipazione,,it
31,31,694511,3,,"( ! is_empty(RVer03x1.NAOK) and floor(round(((strtotime(date('Y-m-d')) - strtotime(RVer03x1.NAOK)) / 60 / 60 / 24 / 365.25), 3)) < 75 AND floor(round(((strtotime(date('Y-m-d')) - strtotime(RVer03x1.NAOK)) / 60 / 60 / 24 / 365.25), 3)) >= 18) or (is_empty(RVer03x1.NAOK) AND floor(round(((strtotime(date('Y-m-d')) - strtotime(substr(TOKEN:ATTRIBUTE_2, 6, 4) + '-' + substr(TOKEN:ATTRIBUTE_2, 3, 2) + '-' + substr(TOKEN:ATTRIBUTE_2, 0, 2))) / 60 / 60 / 24 / 365.25), 3)) < 75 AND floor(round(((strtotime(date('Y-m-d')) - strtotime(substr(TOKEN:ATTRIBUTE_2, 6, 4) + '-' + substr(TOKEN:ATTRIBUTE_2, 3, 2) + '-' + substr(TOKEN:ATTRIBUTE_2, 0, 2))) / 60 / 60 / 24 / 365.25), 3)) >= 18) AND RVer04.NAOK == 'SI' AND (is_empty(RVer02x2_CMP.NAOK) OR RVer02x2_CMP.NAOK == '1')",Caratteristiche sociodemografiche,,it
32,32,694511,4,,"(!is_empty(RVer03x1.NAOK) and floor(round(((strtotime(date('Y-m-d'))-strtotime(RVer03x1.NAOK))/60/60/24/365.25),3)) < 75 AND floor(round(((strtotime(date('Y-m-d'))-strtotime(RVer03x1.NAOK))/60/60/24/365.25),3)) >= 18) or  (is_empty(RVer03x1.NAOK) AND  floor(round(((strtotime(date('Y-m-d'))-strtotime(substr(TOKEN:ATTRIBUTE_2,6,4)+'-'+substr(TOKEN:ATTRIBUTE_2,3,2)+'-'+substr(TOKEN:ATTRIBUTE_2,0,2)))/60/60/24/365.25),3)) < 75 AND floor(round(((strtotime(date('Y-m-d'))-strtotime(substr(TOKEN:ATTRIBUTE_2,6,4)+'-'+substr(TOKEN:ATTRIBUTE_2,3,2)+'-'+substr(TOKEN:ATTRIBUTE_2,0,2)))/60/60/24/365.25),3)) >= 18) AND RVer04.NAOK == 'SI' AND (is_empty(RVer02x2_CMP.NAOK) OR RVer02x2_CMP.NAOK == '1')",Risorse e competenze informatiche,,it
33,33,694511,5,,"(!is_empty(RVer03x1.NAOK) and floor(round(((strtotime(date('Y-m-d'))-strtotime(RVer03x1.NAOK))/60/60/24/365.25),3)) < 75 AND floor(round(((strtotime(date('Y-m-d'))-strtotime(RVer03x1.NAOK))/60/60/24/365.25),3)) >= 18) or  (is_empty(RVer03x1.NAOK) AND  floor(round(((strtotime(date('Y-m-d'))-strtotime(substr(TOKEN:ATTRIBUTE_2,6,4)+'-'+substr(TOKEN:ATTRIBUTE_2,3,2)+'-'+substr(TOKEN:ATTRIBUTE_2,0,2)))/60/60/24/365.25),3)) < 75 AND floor(round(((strtotime(date('Y-m-d'))-strtotime(substr(TOKEN:ATTRIBUTE_2,6,4)+'-'+substr(TOKEN:ATTRIBUTE_2,3,2)+'-'+substr(TOKEN:ATTRIBUTE_2,0,2)))/60/60/24/365.25),3)) >= 18) AND RVer04.NAOK == 'SI' AND (is_empty(RVer02x2_CMP.NAOK) OR RVer02x2_CMP.NAOK == '1')",Benessere e salute,,it
34,34,694511,6,,"(!is_empty(RVer03x1.NAOK) and floor(round(((strtotime(date('Y-m-d'))-strtotime(RVer03x1.NAOK))/60/60/24/365.25),3)) < 75 AND floor(round(((strtotime(date('Y-m-d'))-strtotime(RVer03x1.NAOK))/60/60/24/365.25),3)) >= 18) or  (is_empty(RVer03x1.NAOK) AND  floor(round(((strtotime(date('Y-m-d'))-strtotime(substr(TOKEN:ATTRIBUTE_2,6,4)+'-'+substr(TOKEN:ATTRIBUTE_2,3,2)+'-'+substr(TOKEN:ATTRIBUTE_2,0,2)))/60/60/24/365.25),3)) < 75 AND floor(round(((strtotime(date('Y-m-d'))-strtotime(substr(TOKEN:ATTRIBUTE_2,6,4)+'-'+substr(TOKEN:ATTRIBUTE_2,3,2)+'-'+substr(TOKEN:ATTRIBUTE_2,0,2)))/60/60/24/365.25),3)) >= 18) AND RVer04.NAOK == 'SI' AND (is_empty(RVer02x2_CMP.NAOK) OR RVer02x2_CMP.NAOK == '1')",Interesse e informazione,,it
35,35,694511,7,,"(!is_empty(RVer03x1.NAOK) and floor(round(((strtotime(date('Y-m-d'))-strtotime(RVer03x1.NAOK))/60/60/24/365.25),3)) < 75 AND floor(round(((strtotime(date('Y-m-d'))-strtotime(RVer03x1.NAOK))/60/60/24/365.25),3)) >= 18) or  (is_empty(RVer03x1.NAOK) AND  floor(round(((strtotime(date('Y-m-d'))-strtotime(substr(TOKEN:ATTRIBUTE_2,6,4)+'-'+substr(TOKEN:ATTRIBUTE_2,3,2)+'-'+substr(TOKEN:ATTRIBUTE_2,0,2)))/60/60/24/365.25),3)) < 75 AND floor(round(((strtotime(date('Y-m-d'))-strtotime(substr(TOKEN:ATTRIBUTE_2,6,4)+'-'+substr(TOKEN:ATTRIBUTE_2,3,2)+'-'+substr(TOKEN:ATTRIBUTE_2,0,2)))/60/60/24/365.25),3)) >= 18) AND RVer04.NAOK == 'SI' AND (is_empty(RVer02x2_CMP.NAOK) OR RVer02x2_CMP.NAOK == '1')",Valori,"<span style='font-size:11.0pt'><span style='line-height:115%'><span style='font-family:&quot;Segoe UI&quot;,sans-serif'>Di seguito, si riportano alcune domande che rappresentano un buon esempio di quelle che potrebbe trovare all’interno del panel IOPP. Abbracciano un’ampia gamma di argomenti utili a comprendere le modalità di risposta e le finalità dell’indagine.</span></span></span>",it
36,36,694511,8,,"(!is_empty(RVer03x1.NAOK) and floor(round(((strtotime(date('Y-m-d'))-strtotime(RVer03x1.NAOK))/60/60/24/365.25),3)) < 75 AND floor(round(((strtotime(date('Y-m-d'))-strtotime(RVer03x1.NAOK))/60/60/24/365.25),3)) >= 18) or  (is_empty(RVer03x1.NAOK) AND  floor(round(((strtotime(date('Y-m-d'))-strtotime(substr(TOKEN:ATTRIBUTE_2,6,4)+'-'+substr(TOKEN:ATTRIBUTE_2,3,2)+'-'+substr(TOKEN:ATTRIBUTE_2,0,2)))/60/60/24/365.25),3)) < 75 AND floor(round(((strtotime(date('Y-m-d'))-strtotime(substr(TOKEN:ATTRIBUTE_2,6,4)+'-'+substr(TOKEN:ATTRIBUTE_2,3,2)+'-'+substr(TOKEN:ATTRIBUTE_2,0,2)))/60/60/24/365.25),3)) >= 18) AND RVer04.NAOK == 'SI' AND (is_empty(RVer02x2_CMP.NAOK) OR RVer02x2_CMP.NAOK == '1')",Fiducia,,it
37,37,694511,9,,"(!is_empty(RVer03x1.NAOK) and floor(round(((strtotime(date('Y-m-d'))-strtotime(RVer03x1.NAOK))/60/60/24/365.25),3)) < 75 AND floor(round(((strtotime(date('Y-m-d'))-strtotime(RVer03x1.NAOK))/60/60/24/365.25),3)) >= 18) or  (is_empty(RVer03x1.NAOK) AND  floor(round(((strtotime(date('Y-m-d'))-strtotime(substr(TOKEN:ATTRIBUTE_2,6,4)+'-'+substr(TOKEN:ATTRIBUTE_2,3,2)+'-'+substr(TOKEN:ATTRIBUTE_2,0,2)))/60/60/24/365.25),3)) < 75 AND floor(round(((strtotime(date('Y-m-d'))-strtotime(substr(TOKEN:ATTRIBUTE_2,6,4)+'-'+substr(TOKEN:ATTRIBUTE_2,3,2)+'-'+substr(TOKEN:ATTRIBUTE_2,0,2)))/60/60/24/365.25),3)) >= 18) AND RVer04.NAOK == 'SI' AND (is_empty(RVer02x2_CMP.NAOK) OR RVer02x2_CMP.NAOK == '1')",Orientamenti politici,,it
38,38,694511,10,,"(!is_empty(RVer03x1.NAOK) and floor(round(((strtotime(date('Y-m-d'))-strtotime(RVer03x1.NAOK))/60/60/24/365.25),3)) < 75 AND floor(round(((strtotime(date('Y-m-d'))-strtotime(RVer03x1.NAOK))/60/60/24/365.25),3)) >= 18) or  (is_empty(RVer03x1.NAOK) AND  floor(round(((strtotime(date('Y-m-d'))-strtotime(substr(TOKEN:ATTRIBUTE_2,6,4)+'-'+substr(TOKEN:ATTRIBUTE_2,3,2)+'-'+substr(TOKEN:ATTRIBUTE_2,0,2)))/60/60/24/365.25),3)) < 75 AND floor(round(((strtotime(date('Y-m-d'))-strtotime(substr(TOKEN:ATTRIBUTE_2,6,4)+'-'+substr(TOKEN:ATTRIBUTE_2,3,2)+'-'+substr(TOKEN:ATTRIBUTE_2,0,2)))/60/60/24/365.25),3)) >= 18) AND RVer04.NAOK == 'SI' AND (is_empty(RVer02x2_CMP.NAOK) OR RVer02x2_CMP.NAOK == '1')",Atteggiamenti verso l’indagine,"<p><b>Desideriamo infine porle alcune domande su questa indagine. La sua opinione è molto importante per migliorare la qualità del questionario e la buona riuscita della ricerca. In che misura è d’accordo con le seguenti affermazioni? Per ogni affermazione è possibile fornire solo una risposta.</b></p>

<p><i>Con indagine demoscopica intendiamo ad esempio la ricerca che stiamo svolgendo con la somministrazione di questo questionario.</i></p>
",it
39,39,694511,11,,"(!is_empty(RVer03x1.NAOK) and floor(round(((strtotime(date('Y-m-d'))-strtotime(RVer03x1.NAOK))/60/60/24/365.25),3)) < 75 AND floor(round(((strtotime(date('Y-m-d'))-strtotime(RVer03x1.NAOK))/60/60/24/365.25),3)) >= 18) or  (is_empty(RVer03x1.NAOK) AND  floor(round(((strtotime(date('Y-m-d'))-strtotime(substr(TOKEN:ATTRIBUTE_2,6,4)+'-'+substr(TOKEN:ATTRIBUTE_2,3,2)+'-'+substr(TOKEN:ATTRIBUTE_2,0,2)))/60/60/24/365.25),3)) < 75 AND floor(round(((strtotime(date('Y-m-d'))-strtotime(substr(TOKEN:ATTRIBUTE_2,6,4)+'-'+substr(TOKEN:ATTRIBUTE_2,3,2)+'-'+substr(TOKEN:ATTRIBUTE_2,0,2)))/60/60/24/365.25),3)) >= 18) AND RVer04.NAOK == 'SI'",Reclutamento,,it
